rr,gg,bb,d,k,l,a,b,c
1.000000000000000056e-01,1.000000000000000056e-01,1.000000000000000056e-01,3.116137006540661142e-02,-9.922768659667588476e-02,9.999600000000001543e-02,7.008583899840873342e-03,2.261868182818652193e-04,3.004047264178588542e-04
1.000000000000000056e-01,4.000000000000000222e-01,1.000000000000000056e-01,8.083078976170600394e-02,-3.135003764087668232e-01,3.145474175999999900e-01,4.899677235130689076e-03,4.159706965795230025e-04,3.340774259396934618e-04
1.000000000000000056e-01,6.999999999999999556e-01,1.000000000000000056e-01,1.305002094580053895e-01,-5.277730662208577339e-01,5.290988352000000061e-01,5.588299713239696168e-03,8.426151061279699194e-04,5.336417805492690543e-04
1.000000000000000056e-01,1.000000000000000000e+00,1.000000000000000056e-01,1.801696291543047890e-01,-7.420457560329487556e-01,7.436502527999999668e-01,6.915428393956688825e-03,1.310019347999289048e-03,7.604408639554716479e-04
4.000000000000000222e-01,1.000000000000000056e-01,1.000000000000000056e-01,7.428979847568017991e-02,-1.629605966160220798e-01,1.637734488000000266e-01,1.147189968391084183e-02,4.959660757069224218e-04,9.014454528493393666e-04
4.000000000000000222e-01,4.000000000000000222e-01,1.000000000000000056e-01,1.239592181719795794e-01,-3.772332864281130460e-01,3.783248664000000150e-01,2.716356818202009596e-02,6.641583654287256701e-04,1.305467603893967427e-03
4.000000000000000222e-01,6.999999999999999556e-01,1.000000000000000056e-01,1.736286378682789511e-01,-5.915059762402039567e-01,5.928762839999999201e-01,2.570840939209649220e-02,9.601699289763646668e-04,1.348660142067461968e-03
4.000000000000000222e-01,1.000000000000000000e+00,1.000000000000000056e-01,2.232980575645783505e-01,-8.057786660522948674e-01,8.074277015999999918e-01,2.204095227428987114e-02,1.342758949790819230e-03,1.426430307058585171e-03
6.999999999999999556e-01,1.000000000000000056e-01,1.000000000000000056e-01,1.174182268859537553e-01,-2.266935066353682748e-01,2.275508975999999961e-01,1.150817280455588426e-02,1.183314315594306311e-03,1.293438789460164828e-03
6.999999999999999556e-01,4.000000000000000222e-01,1.000000000000000056e-01,1.670876465822531409e-01,-4.409661964474592133e-01,4.421023151999999845e-01,3.632615137350344442e-02,9.066310824284335183e-04,2.228018928940940675e-03
6.999999999999999556e-01,6.999999999999999556e-01,1.000000000000000056e-01,2.167570662785525404e-01,-6.552388862595500685e-01,6.566537327999999452e-01,4.664502974687843168e-02,1.262396174739155051e-03,2.484954096805680815e-03
6.999999999999999556e-01,1.000000000000000000e+00,1.000000000000000056e-01,2.664264859748519121e-01,-8.695115760716410902e-01,8.712051504000000168e-01,4.696563334142094676e-02,1.588031867981455104e-03,2.523821691795330967e-03
1.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000056e-01,1.605466552962273308e-01,-2.904264166547144699e-01,2.913283463999999934e-01,1.388930911584506343e-02,1.716410254695630716e-03,1.696031029123994203e-03
1.000000000000000000e+00,4.000000000000000222e-01,1.000000000000000056e-01,2.102160749925267302e-01,-5.046991064668053806e-01,5.058797640000000095e-01,3.875094556762646164e-02,1.282957544258444237e-03,2.731918779604855779e-03
1.000000000000000000e+00,6.999999999999999556e-01,1.000000000000000056e-01,2.598854946888261019e-01,-7.189717962788962913e-01,7.204311815999999702e-01,5.718511114119823741e-02,1.529785003158756979e-03,3.425564653538807139e-03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000056e-01,3.095549143851254459e-01,-9.332444860909873130e-01,9.349825992000000419e-01,6.580626563687655417e-02,1.890587334012414512e-03,3.653158025802862117e-03
1.000000000000000056e-01,1.000000000000000056e-01,4.000000000000000222e-01,3.184763215505347772e-02,-1.189051465552663639e-01,1.216551336000000205e-01,5.764777257913762838e-03,7.762479222209239587e-04,7.353635935281081174e-04
1.000000000000000056e-01,4.000000000000000222e-01,4.000000000000000222e-01,8.151705185135287024e-02,-3.331778363673573162e-01,3.362065512000000367e-01,6.863310640584481363e-03,1.003524568013506018e-03,6.928975391185312202e-04
1.000000000000000056e-01,6.999999999999999556e-01,4.000000000000000222e-01,1.311864715476522558e-01,-5.474505261794482269e-01,5.507579688000000528e-01,5.976897529772962590e-03,8.314714087263757377e-04,5.034994515462651397e-04
1.000000000000000056e-01,1.000000000000000000e+00,4.000000000000000222e-01,1.808558912439516553e-01,-7.617232159915392486e-01,7.653093864000000135e-01,6.576856186573530778e-03,1.049156416746237870e-03,5.926042781881449848e-04
4.000000000000000222e-01,1.000000000000000056e-01,4.000000000000000222e-01,7.497606056532704621e-02,-1.826380565746125451e-01,1.854325824000000178e-01,1.102453539014516294e-02,1.085513741468246149e-03,1.085681631511186242e-03
4.000000000000000222e-01,4.000000000000000222e-01,4.000000000000000222e-01,1.246454802616264457e-01,-3.969107463867035390e-01,3.999840000000000617e-01,2.803434674309208952e-02,9.047474579460369022e-04,1.201620675042769110e-03
4.000000000000000222e-01,6.999999999999999556e-01,4.000000000000000222e-01,1.743148999579258174e-01,-6.111834361987944497e-01,6.145354175999999669e-01,2.734481575672251599e-02,8.117323962002575112e-04,1.052671873987500676e-03
4.000000000000000222e-01,1.000000000000000000e+00,4.000000000000000222e-01,2.239843196542252168e-01,-8.254561260108853604e-01,8.290868352000000385e-01,2.284691377608383256e-02,9.969868251128639371e-04,1.078726235369170021e-03
6.999999999999999556e-01,1.000000000000000056e-01,4.000000000000000222e-01,1.181044889756006216e-01,-2.463709665939587401e-01,2.492100311999999873e-01,1.414728159381320981e-02,1.321043743053263277e-03,1.431025227916506680e-03
6.999999999999999556e-01,4.000000000000000222e-01,4.000000000000000222e-01,1.677739086719000072e-01,-4.606436564060497063e-01,4.637614488000000312e-01,3.883725755618346737e-02,1.060866525232961877e-03,1.960660734455689762e-03
6.999999999999999556e-01,6.999999999999999556e-01,4.000000000000000222e-01,2.174433283681994067e-01,-6.749163462181405615e-01,6.783128663999999919e-01,4.681821534896923875e-02,1.205488299948258291e-03,1.736453127266893853e-03
6.999999999999999556e-01,1.000000000000000000e+00,4.000000000000000222e-01,2.671127480644988061e-01,-8.891890360302315832e-01,8.928642840000000636e-01,4.915727993173488186e-02,1.241597046048820456e-03,1.905178256834986865e-03
1.000000000000000000e+00,1.000000000000000056e-01,4.000000000000000222e-01,1.612329173858741971e-01,-3.101038766133049629e-01,3.129874800000000401e-01,1.591906098931266528e-02,1.731295241437893215e-03,1.800400311137728172e-03
1.000000000000000000e+00,4.000000000000000222e-01,4.000000000000000222e-01,2.109023370821735965e-01,-5.243765664253958736e-01,5.275388976000000563e-01,4.540176836638418895e-02,1.058584711050535943e-03,2.803921031863691824e-03
1.000000000000000000e+00,6.999999999999999556e-01,4.000000000000000222e-01,2.605717567784729960e-01,-7.386492562374867843e-01,7.420903152000000169e-01,5.977667697516222955e-02,1.446195330923715459e-03,2.785003264142817299e-03
1.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000222e-01,3.102411764747723399e-01,-9.529219460495778060e-01,9.566417328000000886e-01,6.794691762640352184e-02,1.616799480547708324e-03,2.837789913821879128e-03
1.000000000000000056e-01,1.000000000000000056e-01,6.999999999999999556e-01,3.253389424470034402e-02,-1.385826065138568153e-01,1.433142672000000117e-01,6.874435509114124043e-03,9.168083283640571582e-04,8.706617326653105868e-04
1.000000000000000056e-01,4.000000000000000222e-01,6.999999999999999556e-01,8.220331394099973654e-02,-3.528552963259477537e-01,3.578656848000000279e-01,1.181029593927186878e-02,2.132229410143111556e-03,1.809194658023508592e-03
1.000000000000000056e-01,6.999999999999999556e-01,6.999999999999999556e-01,1.318727336372991221e-01,-5.671279861380387199e-01,5.724171023999999885e-01,9.093080330238683534e-03,1.932861251813448259e-03,1.176720042892631310e-03
1.000000000000000056e-01,1.000000000000000000e+00,6.999999999999999556e-01,1.815421533335985216e-01,-7.814006759501297417e-01,7.869685199999999492e-01,8.185830197148974072e-03,1.557732179488924198e-03,8.558239097472391524e-04
4.000000000000000222e-01,1.000000000000000056e-01,6.999999999999999556e-01,7.566232265497391252e-02,-2.023155165332030103e-01,2.070917160000000090e-01,9.936327489734119583e-03,1.319248054482363795e-03,1.252102020477677659e-03
4.000000000000000222e-01,4.000000000000000222e-01,6.999999999999999556e-01,1.253317423512733120e-01,-4.165882063452939765e-01,4.216431336000000529e-01,2.563583445096919572e-02,2.032475463064772891e-03,2.059586670581751121e-03
4.000000000000000222e-01,6.999999999999999556e-01,6.999999999999999556e-01,1.750011620475726837e-01,-6.308608961573849427e-01,6.361945511999999026e-01,2.898245010257077467e-02,1.459004111834576395e-03,1.592077812097354326e-03
4.000000000000000222e-01,1.000000000000000000e+00,6.999999999999999556e-01,2.246705817438720831e-01,-8.451335859694758534e-01,8.507459687999999742e-01,2.453545606987485306e-02,1.268085049563144563e-03,1.247420199682248987e-03
6.999999999999999556e-01,1.000000000000000056e-01,6.999999999999999556e-01,1.187907510652474879e-01,-2.660484265525492331e-01,2.708691648000000063e-01,1.351679147282813104e-02,1.685283461149092747e-03,1.613037142800646849e-03
6.999999999999999556e-01,4.000000000000000222e-01,6.999999999999999556e-01,1.684601707615468735e-01,-4.803211163646401438e-01,4.854205824000000224e-01,3.723233260548614032e-02,1.741492888183916472e-03,2.394912770665734696e-03
6.999999999999999556e-01,6.999999999999999556e-01,6.999999999999999556e-01,2.181295904578462730e-01,-6.945938061767310545e-01,6.999719999999999276e-01,4.906009704964862245e-02,1.583308536554326644e-03,2.102836344293257387e-03
6.999999999999999556e-01,1.000000000000000000e+00,6.999999999999999556e-01,2.677990101541456447e-01,-9.088664959888220762e-01,9.145234175999999993e-01,5.039496848790001038e-02,1.414578894732835017e-03,1.885289118793421559e-03
1.000000000000000000e+00,1.000000000000000056e-01,6.999999999999999556e-01,1.619191794755210634e-01,-3.297813365718954004e-01,3.346466136000000313e-01,1.687099626594405072e-02,2.016930667297026775e-03,1.967549439499963627e-03
1.000000000000000000e+00,4.000000000000000222e-01,6.999999999999999556e-01,2.115885991718204628e-01,-5.440540263839863666e-01,5.491980311999999920e-01,4.653894171792918172e-02,1.677244617559746874e-03,2.986353433859512303e-03
1.000000000000000000e+00,6.999999999999999556e-01,6.999999999999999556e-01,2.612580188681198345e-01,-7.583267161960772773e-01,7.637494487999999526e-01,5.994228158524027988e-02,1.866920026315638031e-03,2.643216383524956466e-03
1.000000000000000000e+00,1.000000000000000000e+00,6.999999999999999556e-01,3.109274385644191785e-01,-9.725994060081682990e-01,9.783008664000000243e-01,6.679553371043502052e-02,1.854338719117114027e-03,2.418093511518616158e-03
1.000000000000000056e-01,1.000000000000000056e-01,1.000000000000000000e+00,3.322015633434721033e-02,-1.582600664724473083e-01,1.649734008000000030e-01,7.913681514726459906e-03,1.055384556604553820e-03,1.002269024951746908e-03
1.000000000000000056e-01,4.000000000000000222e-01,1.000000000000000000e+00,8.288957603064660284e-02,-3.725327562845382467e-01,3.795248184000000191e-01,1.647772235890180431e-02,2.405284995115030029e-03,2.240718128065782421e-03
1.000000000000000056e-01,6.999999999999999556e-01,1.000000000000000000e+00,1.325589957269459884e-01,-5.868054460966292130e-01,5.940762360000000353e-01,1.476077366836585532e-02,3.249816536521002094e-03,2.455958318224428418e-03
1.000000000000000056e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.822284154232453879e-01,-8.010781359087202347e-01,8.086276535999999959e-01,1.183010909341109494e-02,2.875350198243915249e-03,1.684914219990490698e-03
4.000000000000000222e-01,1.000000000000000056e-01,1.000000000000000000e+00,7.634858474462077882e-02,-2.219929764917935033e-01,2.287508496000000280e-01,1.096888514571069465e-02,1.462982975282830014e-03,1.389262399569135423e-03
4.000000000000000222e-01,4.000000000000000222e-01,1.000000000000000000e+00,1.260180044409201783e-01,-4.362656663038844695e-01,4.433022672000000441e-01,2.147945391435590601e-02,2.714108811570679815e-03,2.522896921840483021e-03
4.000000000000000222e-01,6.999999999999999556e-01,1.000000000000000000e+00,1.756874241372195500e-01,-6.505383561159754358e-01,6.578536847999999493e-01,2.807186229131766048e-02,2.903673712956701767e-03,2.586890375982312234e-03
4.000000000000000222e-01,1.000000000000000000e+00,1.000000000000000000e+00,2.253568438335189494e-01,-8.648110459280662354e-01,8.724051024000000210e-01,2.657280343682850987e-02,2.247044191834218340e-03,1.930481002353535069e-03
6.999999999999999556e-01,1.000000000000000056e-01,1.000000000000000000e+00,1.194770131548943543e-01,-2.857258865111397261e-01,2.925282983999999975e-01,1.402384329381933976e-02,1.863544684037109688e-03,1.769093100094709225e-03
6.999999999999999556e-01,4.000000000000000222e-01,1.000000000000000000e+00,1.691464328511937398e-01,-4.999985763232306368e-01,5.070797160000000137e-01,3.278131555875427039e-02,2.843935100424985728e-03,2.857698929078785789e-03
6.999999999999999556e-01,6.999999999999999556e-01,1.000000000000000000e+00,2.188158525474931393e-01,-7.142712661353214365e-01,7.216311335999999743e-01,4.851991490553234088e-02,2.539052874191326508e-03,3.041426015029119294e-03
6.999999999999999556e-01,1.000000000000000000e+00,1.000000000000000000e+00,2.684852722437925387e-01,-9.285439559474124582e-01,9.361825512000000460e-01,5.251243488409707699e-02,2.056682068788302092e-03,2.545322503976115217e-03
1.000000000000000000e+00,1.000000000000000056e-01,1.000000000000000000e+00,1.626054415651679297e-01,-3.494587965304858934e-01,3.563057472000000225e-01,1.724150005992593215e-02,2.244667654583039785e-03,2.136018037310039117e-03
1.000000000000000000e+00,4.000000000000000222e-01,1.000000000000000000e+00,2.122748612614673291e-01,-5.637314863425768596e-01,5.708571648000000387e-01,4.239673031465658604e-02,2.785548355769260076e-03,3.220434177342533771e-03
1.000000000000000000e+00,6.999999999999999556e-01,1.000000000000000000e+00,2.619442809577667286e-01,-7.780041761546676593e-01,7.854085823999999993e-01,6.014139860885184957e-02,2.380312387571945337e-03,3.382518854968712737e-03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.116137006540660725e-01,-9.922768659667586810e-01,9.999600000000000710e-01,7.008585292806947253e-02,2.261870955097293381e-03,3.004052618854992536e-03
